time	gFx	gFy	gFz	TgF
0.308584375	0,0309	0,0428	1,0177	1,019
0.310984167	0,0353	0,0467	1,0184	1,02
0.313586094	0,039	0,0428	1,0084	1,01
0.315846667	0,0417	0,0435	1,0055	1,007
0.318232188	0,0412	0,0411	0,9981	1
0.320614427	0,0429	0,0421	0,995	0,997
0.323003854	0,0468	0,0426	0,991	0,993
0.325441875	0,047	0,0426	0,9906	0,993
0.328297552	0,048	0,0484	0,9935	0,996
0.330451823	0,0475	0,0494	0,992	0,994
0.332658281	0,0495	0,0506	0,9942	0,997
0.335123698	0,0478	0,0511	0,9996	1,002
0.337462135	0,0473	0,0543	1,0018	1,004
0.339855156	0,0478	0,057	1,005	1,008
0.342287604	0,0502	0,057	1,0096	1,012
0.344918802	0,0504	0,0548	1,0118	1,015
0.347255625	0,0519	0,0526	1,0169	1,02
0.349500729	0,0522	0,0521	1,0191	1,022
0.351885729	0,0551	0,0494	1,0189	1,022
0.354344479	0,0595	0,0467	1,0179	1,021
0.356660833	0,0614	0,045	1,0169	1,02
0.359062188	0,0597	0,0443	1,0196	1,022
0.361580729	0,06	0,0453	1,0162	1,019
0.364030208	0,0553	0,045	1,0187	1,021
0.366356771	0,0524	0,044	1,0157	1,018
0.368921563	0,0485	0,0438	1,0128	1,015
0.37135026	0,046	0,0421	1,0135	1,015
0.373769635	0,0426	0,0406	1,0157	1,017
0.376178542	0,0443	0,0387	1,0157	1,017
0.378871198	0,0446	0,0382	1,0167	1,018
0.381377396	0,046	0,0345	1,0152	1,017
0.386081875	0,048	0,0311	1,0096	1,011
0.386458177	0,048	0,0318	1,0055	1,007
0.388017865	0,0487	0,0294	1,0001	1,002
0.39042875	0,05	0,0316	0,9898	0,992
0.392815833	0,0487	0,0326	0,983	0,985
0.39561026	0,0497	0,0326	0,9776	0,979
0.397824635	0,0482	0,0365	0,9732	0,975
0.400155625	0,0473	0,0384	0,9715	0,973
0.402430521	0,0436	0,0443	0,9695	0,972
0.405079688	0,0424	0,046	0,9715	0,974
0.407264948	0,0414	0,0519	0,9749	0,977
0.409840052	0,039	0,054	0,9776	0,98
0.412427188	0,0387	0,0582	0,9832	0,986
0.414629115	0,0404	0,0587	0,9896	0,992
0.416915573	0,0431	0,0616	0,9874	0,99
0.419343021	0,048	0,0626	0,9866	0,99
0.421769583	0,0539	0,0643	0,9832	0,987
0.424072604	0,0546	0,0619	0,9805	0,984
0.426609323	0,0573	0,0594	0,9788	0,982
0.429087604	0,0595	0,0589	0,9832	0,987
0.43137526	0,0614	0,0572	0,9849	0,989
0.433682188	0,0617	0,0567	0,9881	0,992
0.436060573	0,0602	0,0543	0,9928	0,996
0.438454844	0,0566	0,0523	0,9991	1,002
0.440876406	0,0556	0,0497	1,0072	1,01
0.443271667	0,0509	0,0462	1,0169	1,019
0.445893854	0,0517	0,0428	1,0199	1,022
